Date,Result,Score Tier,Reason,Target Kcal,Target Pro(g),Target Carb(g),Target Fat(g),Target Water(ml),Logs,Total Calories,Total Protein,Total Carbs,Total Fats,Pure Water (ml),Exercise Logged,Exercise Details
2026-04-15,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2500,150,295,80,4000,"Pomme Frites (225g) | Scrambled Eggs with Smoked Salmon | Serving (100g) of item | Mortadella | Hipro mixed berries (260g) | Nawaem (100g)",1274,79,145,63,1750,No,None
2026-04-16,Green,score-pos-1,"Good outweighed the bad. Managed calories on target, protein goal met, but had issues with carbs lower than goal, fats higher than goal, low hydration.",2500,150,295,80,4000,"Eggs, Gouda, Salmon | 2 Mortadella Slices | Tortilla | Potato Wedges (Air Fried) | Choco delight max | Brioche Roll | Hipro mixed berries (260g) | Sheesh Tawook and Chicken Strips",2267,188,156,95,0,Yes,"Treadmill Walking (-170kcal)"
2026-04-18,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2500,150,295,80,4000,"Cola (300g) | Chicken Shawarma (Ebn El Sham) | Snack Puffs | Egg, Gouda, Turkey & Tortilla Meal | Vanilla Cookies with Chocolate Chips | Snack Puffs",1643,108,172,56,2000,No,None
2026-04-19,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2500,150,295,80,4000,"2 Mini Magnum Bars (Estimated Mix) | Tiramisu (small portion)",480,11,61,26,0,No,None
2026-04-20,Green,score-pos-1,"Good outweighed the bad. Managed fats on target, but had issues with calories lower than goal, low protein, carbs lower than goal, low hydration.",2500,150,295,80,4000,"Chicken Nuggets and Fries | Big Tasty Meal",1713,75,153,86,0,No,None
2026-04-21,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2500,150,295,80,4000,"Hipro mixed berries (260g)",187,20,18,4,0,No,None
2026-04-25,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2500,150,295,80,4000,"2 bananas",210,3,54,1,0,No,None
2026-04-26,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2500,150,295,80,4000,"Mashed potatoes, Chicken breast in parmesan sauce, Grilled vegetables",700,50,58,32,0,No,None
2026-04-27,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2500,150,295,80,4000,"Hipro mixed berries (260g)",187,20,18,4,0,No,None
2026-05-01,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Molto with strawberry jam and whipped cream | Nescafe canned coffee",590,8,82,24,0,No,None
2026-05-02,Green,score-pos-1,"Good outweighed the bad. Managed fats on target, but had issues with calories lower than goal, low protein, carbs lower than goal, low hydration.",2400,150,270,80,3000,"bananas | Frozen Potato Product | Cheeseburger | Tea with milk and stevia | Jambon, eggs, and gouda cheese | Deli sun wrap (60g) | Maltesers 37t (37g)",1758,89,182,77,2000,No,None
2026-05-03,Green,score-pos-2,"Good outweighed the bad. Managed fats on target, hydration goal met, but had issues with calories lower than goal, low protein, carbs lower than goal.",2400,150,270,80,3000,"bananas | Roz bel sha3reya with oil | Frozen Potato Product | Lemon juice | Jambon, eggs, and Gouda cheese | Tea with milk and stevia | Maltesers 37t (37g) | SUNSHINE (200g)",1677,106,156,74,1850,Yes,"Tennis (-1100kcal)"
2026-05-04,Green,score-pos-5,"Flawless day. Nailed everything: calories on target, protein goal met, carbs on target, fats on target, hydration goal met.",2400,150,270,80,3000,"SUNSHINE (200g) | Air Baked French Fries (254g) | Dina Farms Chocolate Milk | Chicken Tenders | Frozen Potato Product | Maltesers 37t (37g) | Tea with milk and stevia | Air Baked French Fries (254g) | Dark chocolate (50g)",2687,159,285,90,3250,Yes,"Boxing (-1100kcal)"
2026-05-05,Green,score-pos-3,"Great day. Hit calories on target, protein goal met, fats on target, but had issues with carbs lower than goal, low hydration.",2400,150,270,80,3000,"Sweet and Sour Chicken | Mr. Brownie | Chicken breast and mashed potatoes | 3 cookies | Jambon, eggs, and Gouda cheese | Tea with milk and stevia | Dina Farms Chocolate Milk | Air Baked French Fries (300g)",2390,148,223,85,1250,No,None
2026-05-06,Green,score-pos-1,"Good outweighed the bad. Managed fats on target, but had issues with calories lower than goal, low protein, carbs lower than goal, low hydration.",2400,150,270,80,3000,"Air-fried chicken tenders | Dark chocolate (50g) | Danish pastry | 3 scrambled eggs and croissant | Banana Honey Cake | Mr. Brownie | Tea with milk and stevia",1646,71,150,86,2000,Yes,"Boxing and Conditioning Session (-950kcal)"
2026-05-07,Grey,score-0,"Even split. Achieved calories on target, but offset by low protein, carbs lower than goal, fats higher than goal, low hydration.",2400,150,270,80,3000,"Shish Tawook Wraps | Salted caramel ice cream with waffle cone | 3 cookies | Deli sun wrap (60g) | Eggs, Mortadella, and Gouda | Tea with milk and stevia | Hipro cookies& cream (260g)",2255,121,191,99,1500,No,None
2026-05-08,Green,score-pos-1,"Good outweighed the bad. Managed carbs on target, but had issues with calories lower than goal, low protein, fats lower than goal, low hydration.",2400,150,270,80,3000,"Air Baked French Fries (300g) | كورونا لايت صغير (10.7g) | Deli sun wrap (60g) | Eggs, Gouda, and Turkey | Banana Honey Cake | Tea with milk and stevia | V pink lemonade (300g) | تايجر شطه (10g) | كورونا لايت صغير (10.7g)",1551,48,230,55,1250,No,None
2026-05-09,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Chicken shawarma wraps, turkey, and mortadella | Tea with milk and stevia | Banana Honey Cake | حليب بالشوكولاته مزارع دينا (100g)",1545,87,146,63,1000,No,None
2026-05-10,Green,score-pos-1,"Good outweighed the bad. Managed fats on target, but had issues with calories lower than goal, low protein, carbs lower than goal, low hydration.",2400,150,270,80,3000,"Mr. Brownie | Gouda Cheese | Brown Toast Honey Sandwiches 120g | Toast Fino 25g | Shish Tawook 200g | Hipro Drink 330ml | Eggs | Air Fried Potato Wedges | Mortadella 50g | Turkey Slice 15g",1844,117,163,81,0,No,None
2026-05-11,Green,score-pos-1,"Good outweighed the bad. Managed fats on target, but had issues with calories lower than goal, low protein, carbs lower than goal, low hydration.",2400,150,270,80,3000,"Cookies and Cream Yogurt Drink | Spicy Fried Chicken Ramen 130g | Gyro Wrap | Dina Farms Chocolate Milk 250ml | Overnight Oats With Honey, Chia, And Chocolate",1997,80,225,83,0,No,None
2026-05-12,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Air fried potato wedges | Shish Tawook With Veggies | Brown Toast Honey Sandwiches 100g | Toast Fino 30g | Gouda Cheese Slice | Turkey Slice 15g | Hipro Cookies N Cream Drink 330ml",1335,93,144,42,1250,No,None
2026-05-13,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Air Fried Potatoes 300g | مولتو مينى ماجنم مكس تشيز كيك فراولة (100g) | مولتو مينى ماجنم مكس تشيز كيك فراولة (100g)",1161,21,167,47,0,No,None
2026-05-14,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Boiled Eggs | Tea with milk and stevia | Chicken Strips Air fried (90g) | Chicken Strips Air fried (165g) | Juhayna greek yogurt 2% (180g)",1006,96,36,45,600,No,None
2026-05-15,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Corona lite chocolate | Banana 118g | White Rice 264g | Bredawy brown bread (23g) | Eggs | Domty creamy (11g) | Bredawy brown bread (23g) | Juhayna greek yogurt 2% (180g) | Corona lite chocolate | Air Fried Potatoes (333g) | Domty creamy (11g)",1420,60,227,37,1800,No,None
2026-05-16,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Grilled Veggies | Sweet And Sour Chicken 240g | Brown Toast 35g | Brown Toast 35g | Strawberry Jam 20g | Brown Toast 35g | Brown Toast 35g | Gouda Slice | Turkey Slice 28g | Eggs | Banana 118g | Strawberry Jam 20g | Brown Toast 35g | Air Fried Potatoes (112g)",1516,84,203,41,200,No,None
2026-05-17,Green,score-pos-2,"Good outweighed the bad. Managed carbs on target, fats on target, but had issues with calories lower than goal, low protein, low hydration.",2400,150,270,80,3000,"Honey 7g | Semi-Skimmed Milk 120ml | Banana 118g | Raw Cocoa Powder 10g | Chia Seeds 12g | Whole Grain Oats | Corona lite chocolate | Juhayna greek yogurt 2% (180g) | Vanilla Donut 60g | Garden Salad | Spaghetti Bolognese | Air fried french fries (200g) | Vanilla Cookies chocolate chips (36g)",1999,77,287,72,750,No,None
2026-05-18,Green,score-pos-3,"Great day. Hit calories on target, protein goal met, fats on target, but had issues with carbs lower than goal, low hydration.",2400,150,270,80,3000,"Turkey Slices 56g | Cottage Cheese | Eggs | White Rice 150g | Corona lite chocolate | Corona lite chocolate | Shish Tawook With Steamed Veggies | Juhayna greek yogurt 2% (180g) | Wheat Flour Tortilla (90g) | Koftet Dawood Basha 308g | Hipro cookies& cream (260g)",2204,169,181,80,2350,Yes,"Boxing (-750kcal)"
2026-05-19,Red,score-neg-2,"Rough day. Issues with calories higher than goal, carbs higher than goal, fats higher than goal, low hydration. The only hit was protein goal met.",2400,150,270,80,3000,"7-Up 240ml | Papa Johns Large Specialty Pizza | Papa Johns Bbq Chicken Pizza (Medium) 420g | Papa Johns Pepperoni Pizza (Medium) 105g | Honey 21g | Juhayna greek yogurt 2% (180g) | Mcdonald'S Vanilla Cone 85g | Bredawy brown bread (100g) | Air fried chicken wings (180g) | V7 (300g) | Kellogg's noodles (100g)",3146,147,417,100,0,No,None
2026-05-20,Green,score-pos-1,"Good outweighed the bad. Managed calories on target, carbs on target, but had issues with low protein, fats higher than goal, low hydration.",2400,150,270,80,3000,"Cottage Cheese | Boiled Eggs | Basterma 50g | Parmesan Cheese 20g | Lean Ground Beef | Boiled Pasta 210g | Tarte Au Citron 110g | TWINKIES ICING (100g) | Twinkies double | Juhayna greek yogurt 2% (180g)",2255,122,230,93,1500,Yes,"Boxing Sparring (-0kcal)"
2026-05-21,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Corona lite chocolate | Sweet And Sour Chicken 384g | Cooked White Rice 255g | White Cheese 30g | Basterma 50g | Eggs | Deli sun wrap (60g) | Corona lite chocolate",1598,97,197,47,850,No,None
2026-05-22,Red,score-neg-1,"Slightly off. Struggled with calories higher than goal, low protein, fats higher than goal, low hydration, only managing carbs on target.",2400,150,270,80,3000,"French Fries 150g | Hawawshi 200g | Chicken Shawarma 350g | Caramel Ice Fredo 240ml | Small Casual Burger | Small Casual Burger | V7 (300g) | McDonald's Ice Cream Cone",2825,115,294,130,1200,Yes,"Padel (-675kcal)"
2026-05-23,Green,score-pos-4,"Great day. Hit calories on target, protein goal met, fats on target, hydration goal met, but had issues with carbs lower than goal.",2400,150,270,80,3000,"Bredawy brown bread (23g) | Halawa 50g | White Cooked Rice 95g | Lean Shawarma Chicken 204g | Corona lite chocolate | Gouda Cheese | Turkey Slices 56g | Eggs | Corona lite chocolate | Juhayna greek yogurt 2% (180g) | Air Baked French Fries (271g) | Deli sun wrap (60g) | Bredawy brown bread (23g)",2083,136,217,78,3000,No,None
2026-05-24,Green,score-pos-4,"Great day. Hit calories on target, protein goal met, fats on target, hydration goal met, but had issues with carbs lower than goal.",2400,150,270,80,3000,"Boiled Eggs | Bredawy brown bread (23g) | Bredawy brown bread (23g) | Bredawy brown bread (23g) | Bredawy brown bread (23g) | Basterma 37g | Roast Beef Sandwich 180g | Shish Tawook With Vegetables | Mix Juhayna chocolate 30% less sugar | Unknown Product (220g) | Indomie Beef Flavor Jumbo Instant Noodles | Hipro cookies& cream (260g)",2273,159,212,83,2550,No,None
2026-05-25,Green,score-pos-1,"Good outweighed the bad. Managed carbs on target, but had issues with calories lower than goal, low protein, fats lower than goal, low hydration.",2400,150,270,80,3000,"Boiled Eggs | Bredawy brown bread (23g) | Bredawy brown bread (23g) | Basterma 42g | Air Fried Potato Fries 115g | Grilled Chicken Breast | Juhayna greek yogurt 2% (180g) | Banana 120g | Light Chocolate | Semi-Skimmed Milk 120g | Honey 7g | Vanilla Extract 5g | Cocoa Powder 8g | Chia Seeds 15g | Oats 50g | Air Baked French Fries (301g)",1927,111,249,54,0,No,None
2026-05-26,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Gouda Cheese | Eggs | Bredawy brown bread (23g) | Bredawy brown bread (23g) | Basterma 42g | Deli Sun Tortilla (40g) | Parmesan Cheese 10g | Minced Meat Low Fat 180g | Spaghetti | Deli Sun Tortilla (80g)",1489,106,140,53,2000,No,None
2026-05-27,Green,score-pos-2,"Good outweighed the bad. Managed calories on target, protein goal met, carbs on target, but had issues with fats higher than goal, low hydration.",2400,150,270,80,3000,"Mcdonald'S Ice Cream Cone 90g | Mcdonald'S Big Tasty Combo 500ml | Mix Juhayna chocolate 30% less sugar | Eggs | SUNSHINE (200g) | Deli Sun Tortilla (40g) | Hipro cookies& cream (260g) | Vanilla Cookies chocolate chips (48g)",2556,150,236,112,1500,No,None
2026-05-28,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Caramel Iced Freddo 240ml | Tom Yum Soup 200g | Molto with strawberry jam and whipped cream | Instant Noodles 60g",1145,26,139,53,1200,No,None
2026-05-29,Red,score-neg-3,"Rough day. Issues with calories higher than goal, low protein, carbs higher than goal, fats higher than goal, low hydration.",2400,150,270,80,3000,"Fries Sandwich 600g | Cheetos Popcorn 85g | Indomie Instant Noodles | Indomie Instant Noodles | Shish Tawook Crepe 450g",3370,87,402,154,1200,No,None
2026-06-01,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Shish Tawook 250g | Orange Juice 240ml | Eggs | Indomie Beef Flavor Jumbo Instant Noodles",1313,97,104,55,0,No,None
2026-06-02,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Orange Juice 240ml | Chicken Nuggets and Fries",725,40,64,30,0,No,None
2026-06-03,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Instant Noodles 60g | Orange Juice 240ml | Air fried chicken wings (180g)",801,50,81,34,0,No,None
2026-06-04,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Air fried chicken wings",230,24,10,12,0,No,None
2026-06-05,Green,score-pos-1,"Good outweighed the bad. Managed fats on target, but had issues with calories lower than goal, low protein, carbs lower than goal, low hydration.",2400,150,270,80,3000,"Boiled Eggs And Brown Toast | Brown Toast With Lotus Spread 180g | Spicy Air Fried Chicken Wings | Airfried Chicken Nuggets",1550,70,141,75,0,No,None
2026-06-06,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Juhayna Greek Yogurt | Eish Baladi 100g | Eggs With White Cheese | Airfried Chicken Wings",1065,70,63,54,0,No,None
2026-06-07,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Lasagna | Diet Red Bull 250ml | Egg And Gouda Wrap",830,44,58,46,0,No,None
2026-06-10,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Lean Chicken Shawarma 257g | Choco Digesto Cookies | Deli Sun Tortilla (80g) | Air fried chicken wings | Spicy Air Fried Chicken Wings",1409,124,90,61,0,No,None
2026-06-11,Green,score-pos-2,"Good outweighed the bad. Managed fats on target, hydration goal met, but had issues with calories lower than goal, low protein, carbs lower than goal.",2400,150,270,80,3000,"Medium French Fries 115g | Big Tasty Burger | Chicken And Rice Meal 450g",1770,87,160,86,2500,Yes,"Jujitsu (-650kcal)"
2026-06-12,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Chicken Schnitzel (Panné) 300g | Maltesers 37g | Mashed Potatoes (Puré) 200g",1055,52,88,55,0,No,None
2026-06-13,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Egyptian Seafood Platter | Maltesers 37g | Bagel | Boiled Eggs",1249,84,108,48,0,No,None
2026-06-14,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Lotus Biscoff Spread 30g | Bredawy brown bread (23g) | Gouda Cheese | Eggs | Basterma 60g | Air Fried Potato Wedges",1061,53,85,55,0,No,None
2026-06-15,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Potatoes 200g | Whole Chicken Leg | Boiled Eggs | Deli Sun Tortilla (40g) | Wonderville Cotton Candie Ice cream cookie | Potato Wedges (Air Fried) | Maltesers 37t (37g)",1466,62,172,56,0,No,None
2026-06-17,Green,score-pos-1,"Good outweighed the bad. Managed fats on target, but had issues with calories lower than goal, low protein, carbs lower than goal, low hydration.",2400,150,270,80,3000,"Chicken Shawarma With Fries 450g | Grilled Chicken With Yellow Rice And Potato Chips",1560,80,137,78,0,No,None
2026-06-20,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Malteser 2g | Brown Toast 70g | Scrambled Eggs",381,24,31,18,0,No,None
2026-06-21,Red,score-neg-1,"Slightly off. Struggled with calories lower than goal, low protein, carbs lower than goal, fats higher than goal, low hydration, only managing nothing.",2400,150,270,80,3000,"Chia Seeds 5g | Sausage And Cheese Pizza | Gouda Cheese | Turkey Slices 56g | Scrambled Eggs | Corona dark chocolate coffee | Greek Yogurt 2% Fat (180g) | Temry air fried chicken nuggets (200g)",1975,103,136,105,1000,No,None
2026-06-22,Green,score-pos-1,"Good outweighed the bad. Managed fats on target, but had issues with calories lower than goal, low protein, carbs lower than goal, low hydration.",2400,150,270,80,3000,"Sizzling Beef With Peppers | Big Tasty Meal 500ml | Deli Sun Tortilla (120g)",1893,89,193,84,0,No,None
2026-06-23,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Turkey 50g | Cheese 28g | Eggs | Medium Purple Slushy 475ml | Cheetos Popcorn 50g | Roz Bel Molokheya And Chicken 450g | Deli Sun Tortilla (40g)",1577,79,166,64,0,No,None
2026-06-24,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Orange Juice 240ml | Chicken Cordon Bleu 200g | Potato Wedges (Air Fried)",846,43,102,28,0,No,None
2026-06-25,Green,score-pos-1,"Good outweighed the bad. Managed fats on target, but had issues with calories lower than goal, low protein, carbs lower than goal, low hydration.",2400,150,270,80,3000,"Eggs | Roz Bel Sha3Reya 100g | Homemade White Sauce 72g | Broccoli 60g | Chicken Breast 135g | Maltesers 37t (37g) | Seasoned Wedges (288g) | Deli sun wrap (60g) | Bredawy brown bread (50g) | Biscoff Smooth",1773,87,205,72,0,No,None
2026-06-26,Green,score-pos-1,"Good outweighed the bad. Managed calories on target, carbs on target, but had issues with low protein, fats higher than goal, low hydration.",2400,150,270,80,3000,"Kobeba 70g | French Fries 120g | Shawarma Wraps 280g | Boiled Eggs | Lotus Biscoff Spread 30g | Bredawy brown bread (50g) | Chocolate chip cookies low cal (36g) | Corona dark chocolate coffee",2346,71,231,125,0,No,None
2026-06-27,Green,score-pos-1,"Good outweighed the bad. Managed calories on target, carbs on target, but had issues with low protein, fats higher than goal, low hydration.",2400,150,270,80,3000,"Semi-Skimmed Milk 120g | Banana 60g | Vanilla Extract 2g | Honey 7g | Raw Cocoa Powder 5g | Chia Seeds 12g | Oats 50g | Papa John'S Bbq Chicken Pizza 280g | Oreo Ice Cream Cake 200g | Biscoff Smooth | Corona dark chocolate coffee",2159,52,266,101,0,No,None
2026-06-28,Green,score-pos-1,"Good outweighed the bad. Managed fats on target, but had issues with calories lower than goal, low protein, carbs lower than goal, low hydration.",2400,150,270,80,3000,"Papa John'S Pepperoni Pizza 240g | Gouda Cheese | Turkey Slice 30g | Papa John'S Pepperoni Pizza 240g | Eggs",1616,80,134,78,0,No,None
2026-06-29,Grey,score-0,"Off target across the board (calories lower than goal, low protein, carbs lower than goal, fats lower than goal, low hydration).",2400,150,270,80,3000,"Turkey Slice 30g | Gouda Cheese | Eggs | Fino Bread 60g | Gebna Roomie | Tarte Au Citron 180g",1206,58,97,65,0,No,None
2026-06-30,Red,score-neg-2,"Rough day. Issues with calories higher than goal, carbs higher than goal, fats higher than goal, low hydration. The only hit was protein goal met.",2400,150,270,80,3000,"Buttery Potato Wedges | Roasted Chicken 300g | Fried Fish 400g | Purple Grapes | Pane Sandwich And Fries 350g | Starbucks Caramel Frappuccino With Cookies 473ml | Baladi Bread 100g | Fino Gouda Sandwich | Egg",3822,233,342,161,0,No,None
2026-07-01,Green,score-pos-3,"Great day. Hit calories on target, carbs on target, fats on target, but had issues with low protein, low hydration.",2400,150,270,80,3000,"Spaghettios | Watermelon 150g | Iced Chocolate 350ml | Iced Coffee With Caramel 350ml | Sandwich Pané With Fries 350g | Sweet Chili Sauce 30g | Smoked Fish 80g | Roast Turkey 80g | Roast Beef With Gravy | Potato Balls 100g",2190,111,250,83,0,No,None
2026-07-02,Red,score-neg-2,"Rough day. Issues with calories higher than goal, carbs higher than goal, fats higher than goal, low hydration. The only hit was protein goal met.",2400,150,270,80,3000,"Chicken Topkapi 80g | Hotdog With Condiments | French Fries 100g | Mojito 240ml | Sunshine Drink 350ml | Beer 30ml | Caramel Iced Coffee 475ml | Restaurant Cheeseburger | Breaded Chicken Sandwich With Fries 350g | French Toast 150g | Hot Chocolate 240ml | Boiled Egg | Omelette With Peppers, Onions, And Cheese 200g | Chocolate Cake Slices 120g",3963,153,396,185,0,No,None
2026-07-03,Red,score-neg-2,"Rough day. Issues with calories higher than goal, carbs higher than goal, fats higher than goal, low hydration. The only hit was protein goal met.",2400,150,270,80,3000,"Red Grapes | Breaded Chicken Sandwich With Fries 350g | Caramel Iced Coffee 475ml | Sunshine Drink 350ml | Grilled Chicken | Mini Seafood Fries 120g | Hot Chocolate 240ml | 2 Vanilla Donuts And 1 Slice Of Cake 220g | 3 Slices Of French Toast 180g | 1 Boiled Egg | 3 Egg Omelette With Vegetables And Cheese",3383,139,379,147,0,No,None
2026-07-04,Red,score-neg-2,"Rough day. Issues with calories higher than goal, carbs higher than goal, fats higher than goal, low hydration. The only hit was protein goal met.",2400,150,270,80,3000,"Breaded Chicken 120g | Fillet With Pepper Sauce 130g | Negresco | Potato Puré 150g | Breaded Chicken 120g | Watermelon 200g | 3 Egg Omelette With Vegetables And Cheese | 1 Boiled Egg | 3 Slices Of French Toast 180g | Hot Chocolate 240ml | Chocolate Cake 120g | Domty croissant strawberry | Maltesers 37g (37g)",3401,143,338,163,0,No,None
